video_id,title,category_id,video_duration,tags_count,views,thumbnail_link,description_length,time_duration,published_at,subscribers,keyword,thumbnail_path,object_complexity,element_complexity,brightness,colorfulness
OZaH9h0RH9k,Before Bihar Election Modi enjoyed Desi Meal! #shorts #modi #ai #biharelection,22,10.0,0,13852240,https://i.ytimg.com/vi/OZaH9h0RH9k/hqdefault.jpg,520,12,2025-07-04T08:50:16Z,124000,AI,thumbnails/OZaH9h0RH9k.jpg,16,2,74.48500578703704,43.08531920010886
pQ1JyQN8PrE,🇮🇳 India vs 🇵🇰 Pakistan's big wrestling match between girls#ai #india #pakistan #army,24,61.0,0,8433322,https://i.ytimg.com/vi/pQ1JyQN8PrE/hqdefault.jpg,85,10,2025-07-06T13:18:49Z,76300,AI,thumbnails/pQ1JyQN8PrE.jpg,4,2,36.09089699074074,46.08172857434678
gEZJrYN2J_Q,Ranking Top 4 Best Grow a Garden AI Videos 😂👑,22,28.0,0,8132003,https://i.ytimg.com/vi/gEZJrYN2J_Q/hqdefault.jpg,52,25,2025-06-21T00:42:06Z,37400,AI,thumbnails/gEZJrYN2J_Q.jpg,4,2,38.46709490740741,27.597377884343253
H4Q15cCS8ss,Meta AI is crazy 💀,24,6.0,41,13154126,https://i.ytimg.com/vi/H4Q15cCS8ss/hqdefault.jpg,630,24,2025-06-21T20:21:16Z,2080000,AI,thumbnails/H4Q15cCS8ss.jpg,8,3,40.36191550925926,33.09550471803478
2lGAx0JwGSo,✈️ Baby Accidently fly aroplane. ||Part-2|| #ai #indiancartoon,22,75.0,31,6656890,https://i.ytimg.com/vi/2lGAx0JwGSo/hqdefault.jpg,625,10,2025-07-06T12:07:00Z,63000,AI,thumbnails/2lGAx0JwGSo.jpg,2,2,47.360734953703705,58.91520422260448
nrw1eEsmLzQ,Ants attacked the helicopter made of grandma's laddus #ai #aishorts #cartoon #shorts,24,55.0,26,7162006,https://i.ytimg.com/vi/nrw1eEsmLzQ/hqdefault.jpg,1453,28,2025-06-18T13:30:03Z,612000,AI,thumbnails/nrw1eEsmLzQ.jpg,3,2,82.66185763888889,68.15421113155487
oDTWnzFM-bw,Cutting Glass Avocado ASMR 🥑 #ai #aiart #asmr #glasscutting #satisfying #asmrsounds,24,9.0,28,9099590,https://i.ytimg.com/vi/oDTWnzFM-bw/hqdefault.jpg,1224,12,2025-07-04T15:51:35Z,3700,AI,thumbnails/oDTWnzFM-bw.jpg,1,1,83.76141203703703,30.967522487290907
506A9vRzJw4,Cute baby and parrot are racing cars 😢 #ai #cute #monkey #car #baby,22,17.0,0,7393356,https://i.ytimg.com/vi/506A9vRzJw4/hqdefault.jpg,67,10,2025-07-06T04:28:14Z,6560,AI,thumbnails/506A9vRzJw4.jpg,4,2,71.55917245370371,59.70809283136649
NmqZgJTtdNc,Grandma's monkey fell down while dancing to the tune of DJ #ai #aishorts #cartoon #shorts,24,62.0,26,5566937,https://i.ytimg.com/vi/NmqZgJTtdNc/hqdefault.jpg,1457,7,2025-07-09T13:30:04Z,612000,AI,thumbnails/NmqZgJTtdNc.jpg,4,2,64.47730324074074,33.353260755321145
H8EXR-lRp4U,Goku Ban Gaya Venom? #goku #ai #funny #dragoball,24,61.0,0,5204240,https://i.ytimg.com/vi/H8EXR-lRp4U/hqdefault.jpg,0,25,2025-06-21T02:35:35Z,204000,AI,thumbnails/H8EXR-lRp4U.jpg,4,2,79.57574074074074,35.300947765171735
_FosFDv-50U,My AI actually thought he was real.. 💀 #roblox #robloxshorts #robloxmemes,22,17.0,0,6969771,https://i.ytimg.com/vi/_FosFDv-50U/hqdefault.jpg,166,20,2025-06-25T19:36:53Z,268000,AI,thumbnails/_FosFDv-50U.jpg,3,3,92.3752662037037,49.293969527181915
Al9xT-5XKrE,O brasileiro com a IA 🤣 #ai #pov #veo3,15,32.0,0,6136164,https://i.ytimg.com/vi/Al9xT-5XKrE/hqdefault.jpg,0,29,2025-06-17T16:41:33Z,35600,AI,thumbnails/Al9xT-5XKrE.jpg,3,1,47.10613425925926,21.52928424305048
CgCVZdcKcqY,BLACKPINK - ‘뛰어(JUMP)’ M/V,10,194.0,28,65226608,https://i.ytimg.com/vi/CgCVZdcKcqY/hqdefault.jpg,1667,5,2025-07-11T04:00:07Z,97800000,music,thumbnails/CgCVZdcKcqY.jpg,5,2,36.031539351851855,22.36481972157955
_NoTqg152B0,"Sefo, Demet Akalın - Yerinde Dur (Official Video)",10,148.0,24,48679409,https://i.ytimg.com/vi/_NoTqg152B0/hqdefault.jpg,2864,19,2025-06-26T21:00:07Z,1350000,music,thumbnails/_NoTqg152B0.jpg,10,2,61.74598958333333,40.67369129528237
QGsevnbItdU,"""How It's Done"" Official Lyric Video | KPop Demon Hunters | Sony Animation",1,184.0,20,45863088,https://i.ytimg.com/vi/QGsevnbItdU/hqdefault.jpg,1274,22,2025-06-23T20:45:26Z,1610000,music,thumbnails/QGsevnbItdU.jpg,1,1,60.51097800925926,70.66351782483088
M2WTUoy4y6E,aespa 에스파 'Dirty Work' MV,10,190.0,16,42771409,https://i.ytimg.com/vi/M2WTUoy4y6E/hqdefault.jpg,629,19,2025-06-27T03:59:07Z,33300000,music,thumbnails/M2WTUoy4y6E.jpg,8,1,75.92530671296296,10.615146573055767
ddkbVYutRXA,FUERZA REGIDA - MARLBORO ROJO (VIDEO OFICIAL),10,198.0,0,40686570,https://i.ytimg.com/vi/ddkbVYutRXA/hqdefault.jpg,0,29,2025-06-17T00:02:56Z,5510000,music,thumbnails/ddkbVYutRXA.jpg,1,1,43.51898148148148,25.52046040686878
cWppAbqm9I8,"""Your Idol"" | Official Song Clip | KPop Demon Hunters | Sony Animation",1,120.0,22,33877106,https://i.ytimg.com/vi/cWppAbqm9I8/hqdefault.jpg,2424,20,2025-06-25T20:45:47Z,1610000,music,thumbnails/cWppAbqm9I8.jpg,1,1,39.4822337962963,119.63357314935917
TjsNkI4CTiw,Your Idol,10,192.0,11,29964791,https://i.ytimg.com/vi/TjsNkI4CTiw/hqdefault.jpg,870,27,2025-06-19T10:03:12Z,84200,music,thumbnails/TjsNkI4CTiw.jpg,0,0,98.0570775462963,39.002477789249845
rkYuufTXkL8,How It’s Done,10,177.0,8,29089463,https://i.ytimg.com/vi/rkYuufTXkL8/hqdefault.jpg,779,27,2025-06-19T10:02:43Z,130000,music,thumbnails/rkYuufTXkL8.jpg,0,0,98.0570775462963,39.002477789249845
ZLU4rx24024,JHIM JHIM - Neha Kakkar & Ekdev Limbu | Ritvik Sahore & Priya P Varrier | Rajat Nagpal | Anshul Garg,10,250.0,26,20150744,https://i.ytimg.com/vi/ZLU4rx24024/hqdefault.jpg,3206,19,2025-06-27T05:30:02Z,6390000,music,thumbnails/ZLU4rx24024.jpg,4,3,112.0611574074074,58.52745631302593
G-fCOEZnnTs,Gabriela,10,198.0,3,19960433,https://i.ytimg.com/vi/G-fCOEZnnTs/hqdefault.jpg,620,26,2025-06-20T04:01:25Z,2750,music,thumbnails/G-fCOEZnnTs.jpg,1,1,31.52450810185185,58.062828755344114
HyQn-jkug-w,Free,10,188.0,13,19583796,https://i.ytimg.com/vi/HyQn-jkug-w/hqdefault.jpg,754,27,2025-06-19T10:03:28Z,3490,music,thumbnails/HyQn-jkug-w.jpg,0,0,98.0570775462963,39.002477789249845
eHHQaoEW30Q,"TWICE ""THIS IS FOR"" M/V",10,134.0,18,18986926,https://i.ytimg.com/vi/eHHQaoEW30Q/hqdefault.jpg,618,5,2025-07-11T03:59:06Z,30700000,music,thumbnails/eHHQaoEW30Q.jpg,9,1,63.24527199074074,31.49675903397564
tWWlEOF-Ye4,Demon Idols Debut “Soda Pop” | Song Clip | KPop Demon Hunters | Netflix Family,24,192.0,19,19082059,https://i.ytimg.com/vi/tWWlEOF-Ye4/hqdefault.jpg,729,24,2025-06-22T13:00:00Z,7390000,music,thumbnails/tWWlEOF-Ye4.jpg,5,1,110.10407986111112,67.29208967955925
lWdAlQ7dvPM,「はじまるよ」でドレミを学ぼう！🎹🌈 #童謡 #キッズ #音楽教育 #shorts,24,13.0,12,44572869,https://i.ytimg.com/vi/lWdAlQ7dvPM/hqdefault.jpg,520,28,2025-06-18T08:20:14Z,346000,music,thumbnails/lWdAlQ7dvPM.jpg,2,2,85.76344907407407,101.76769365369464
JOF2ZTqvzwY,ATEEZ(에이티즈) - 'In Your Fantasy' Official MV,10,222.0,26,17812340,https://i.ytimg.com/vi/JOF2ZTqvzwY/hqdefault.jpg,737,5,2025-07-11T04:00:01Z,3070000,music,thumbnails/JOF2ZTqvzwY.jpg,1,1,31.602199074074075,122.0249877275589
knGCfzm4jWs,Guru Randhawa - SIRRA ( Official Video ),10,154.0,15,17284821,https://i.ytimg.com/vi/knGCfzm4jWs/hqdefault.jpg,1934,15,2025-07-01T05:31:15Z,4870000,music,thumbnails/knGCfzm4jWs.jpg,4,3,61.28723958333333,39.00753761254491
l8Dr7vzMSVE,"“Takedown” Official Lyric Video feat. Jeongyeon, Jihyo and Chaeyoung from TWICE | KPop Demon Hunters",1,188.0,20,15851430,https://i.ytimg.com/vi/l8Dr7vzMSVE/hqdefault.jpg,1373,22,2025-06-23T18:29:38Z,1610000,music,thumbnails/l8Dr7vzMSVE.jpg,4,1,102.53625,59.229253116857926
5w8jCDiZk74,"She made the audience sing ""Africa!"" 🤩 Pub Choir on AGT!",24,60.0,30,27131217,https://i.ytimg.com/vi/5w8jCDiZk74/hqdefault.jpg,1156,25,2025-06-21T12:00:12Z,30500000,music,thumbnails/5w8jCDiZk74.jpg,3,1,26.891296296296296,32.94551337791602
Us1hwscuiNs,Kai Cenat WOKE UP to Lil Uzi Vert 😭💀,10,30.0,5,24032347,https://i.ytimg.com/vi/Us1hwscuiNs/hqdefault.jpg,1874,17,2025-06-28T18:40:13Z,5660000,music,thumbnails/Us1hwscuiNs.jpg,3,2,64.41969328703703,36.89823747621703
XCjU9qbfv1U,Davido - With You (Official Video) ft. Omah Lay,10,140.0,18,12812189,https://i.ytimg.com/vi/XCjU9qbfv1U/hqdefault.jpg,878,30,2025-06-16T16:00:06Z,762000,music,thumbnails/XCjU9qbfv1U.jpg,0,0,61.02391203703704,56.939727737237355
s0bJkT5EyTc,Dhanda Nyoliwala - Ishq Bawla (Official Video) | Xvir Grewal | Coke Studio Bharat | Haryanvi Song,10,295.0,25,12504269,https://i.ytimg.com/vi/s0bJkT5EyTc/hqdefault.jpg,4204,28,2025-06-18T05:30:07Z,6640000,music,thumbnails/s0bJkT5EyTc.jpg,4,1,45.90186921296296,44.09452697578921
I3FvM_FgBMU,8 Accents in 1 Song!,10,31.0,0,21917898,https://i.ytimg.com/vi/I3FvM_FgBMU/hqdefault.jpg,0,30,2025-06-16T11:28:13Z,3540000,music,thumbnails/I3FvM_FgBMU.jpg,4,3,59.68431134259259,19.82322075589682
BAdCCBP8uDY,🔥😍#newmusic #music #phonkmusic #phonk #automobile #dance #社交ダンサー #dancer #踊れオーケストラ #ballroomdance,22,10.0,0,29608530,https://i.ytimg.com/vi/BAdCCBP8uDY/hqdefault.jpg,0,20,2025-06-25T19:32:50Z,3610000,music,thumbnails/BAdCCBP8uDY.jpg,10,2,55.67922453703704,33.25053016793012
0epFCthbEWo,He’s playing chess while y’all playing checkers 🧠🎧 #bensonboone #music,22,11.0,0,27813334,https://i.ytimg.com/vi/0epFCthbEWo/hqdefault.jpg,347,25,2025-06-20T19:16:16Z,200000,music,thumbnails/0epFCthbEWo.jpg,2,2,45.78270833333333,35.45631942720488
X6Z8stc46LA,PAW - BRAINROT RAP (Official Video),10,132.0,13,11534931,https://i.ytimg.com/vi/X6Z8stc46LA/hqdefault.jpg,325,25,2025-06-20T22:33:30Z,41400,music,thumbnails/X6Z8stc46LA.jpg,17,3,96.61638310185184,52.372154310591895
VTbo8E8es9A,Mbosso - Pawa (Official Music Video),10,228.0,35,11323611,https://i.ytimg.com/vi/VTbo8E8es9A/hqdefault.jpg,1525,27,2025-06-19T15:00:06Z,3310000,music,thumbnails/VTbo8E8es9A.jpg,7,4,85.77570023148148,59.95550336231909
lgV8s6RiScQ,Eminem's Daughter WRITES his Songs 🥹❤️,10,21.0,6,22165239,https://i.ytimg.com/vi/lgV8s6RiScQ/hqdefault.jpg,1445,26,2025-06-20T01:23:32Z,5660000,music,thumbnails/lgV8s6RiScQ.jpg,3,1,51.784814814814816,5.447604534754666
wHlAnhkLUvw,Fantomel x @KateLinnOfficial - Dame Un Grrr (Official Video),10,152.0,8,11036804,https://i.ytimg.com/vi/wHlAnhkLUvw/hqdefault.jpg,2112,15,2025-07-01T13:00:07Z,384000,music,thumbnails/wHlAnhkLUvw.jpg,3,1,63.00509259259259,39.07204150232831
URlPXepBZdo,Clipse - So Be It (Official Music Video),10,199.0,6,10782887,https://i.ytimg.com/vi/URlPXepBZdo/hqdefault.jpg,2627,29,2025-06-17T16:00:46Z,77900,music,thumbnails/URlPXepBZdo.jpg,2,1,24.859247685185185,0.0
AX0jQYaIeDc,Alex Warren & ROSÉ - On My Mind (Official Music Video),10,221.0,0,10762765,https://i.ytimg.com/vi/AX0jQYaIeDc/hqdefault.jpg,4975,19,2025-06-27T04:00:06Z,8130,music,thumbnails/AX0jQYaIeDc.jpg,2,1,84.3097337962963,25.35130672669679
QvDb3YGYfcs,Amr Diab - Khatfoony (feat. Jana Diab) (Official Lyric Video) | (كلمات) عمرو دياب - خطفوني,10,261.0,51,10790472,https://i.ytimg.com/vi/QvDb3YGYfcs/hqdefault.jpg,2376,13,2025-07-03T10:00:21Z,6490000,music,thumbnails/QvDb3YGYfcs.jpg,1,1,58.82997106481481,102.64171672873606
oClEikOykEE,#love #song #slowedandreverb #remix #music #lovesongsmushup #lovemusic #carsongs #lovesong #funny,10,12.0,0,22394261,https://i.ytimg.com/vi/oClEikOykEE/hqdefault.jpg,0,23,2025-06-23T06:39:17Z,273000,music,thumbnails/oClEikOykEE.jpg,5,1,92.17177083333333,25.82478523544453
fdYFKOMQGUU,ORANGE RANGE – イケナイ太陽 (令和ver. Music Video),10,285.0,0,9554295,https://i.ytimg.com/vi/fdYFKOMQGUU/hqdefault.jpg,378,14,2025-07-02T11:21:00Z,254000,music,thumbnails/fdYFKOMQGUU.jpg,10,2,68.5714699074074,99.94195361838533
sGYpHzJ-wQE,THATIBELLAM FULL SONG 4K || NUKARAJU & ASIYA LATEST SONG || LATEST FOLK SONG 2025 || NOOKARAJU SONG,24,299.0,39,9374650,https://i.ytimg.com/vi/sGYpHzJ-wQE/hqdefault.jpg,641,26,2025-06-20T03:01:05Z,666000,music,thumbnails/sGYpHzJ-wQE.jpg,9,2,114.42960069444445,92.56716702925696
cOD9RS5e88o,Naa Koduka Lyrical Video (Telugu) | Kuberaa | Nagarjuna | Dhanush | Rashmika | Sekhar Kammula | DSP,10,285.0,24,8812666,https://i.ytimg.com/vi/cOD9RS5e88o/hqdefault.jpg,2593,28,2025-06-18T15:13:01Z,35400000,music,thumbnails/cOD9RS5e88o.jpg,1,1,51.463425925925925,43.5489610842715
n9xdc87D850,Music Waka Waka Hand and Finger Magic 😰🤫 #dance #wakawaka #music,22,19.0,0,19539989,https://i.ytimg.com/vi/n9xdc87D850/hqdefault.jpg,0,8,2025-07-08T08:01:25Z,43000,music,thumbnails/n9xdc87D850.jpg,1,1,46.98587962962963,63.64036309235878
bIrKxUD3vOE,he makes full music from one cup #interviewshorts #funny #comedian #bts #funniestvideo #comedyskits,22,117.0,0,15784790,https://i.ytimg.com/vi/bIrKxUD3vOE/hqdefault.jpg,0,23,2025-06-23T04:28:42Z,10300,music,thumbnails/bIrKxUD3vOE.jpg,4,2,24.650734953703704,37.4316825013483
Uh5-Y8PXLck,I ended up in a Travis Scott music video 😳🔥,22,60.0,0,15490643,https://i.ytimg.com/vi/Uh5-Y8PXLck/hqdefault.jpg,148,7,2025-07-09T12:00:55Z,8870000,music,thumbnails/Uh5-Y8PXLck.jpg,5,4,65.67972800925926,26.17993856800908
MPcg4pdmHbA,He really made it iconic 😂💯 #song #music #ytshorts #youtubeshorts,22,20.0,4,17180613,https://i.ytimg.com/vi/MPcg4pdmHbA/hqdefault.jpg,37,15,2025-07-01T10:30:28Z,112000,music,thumbnails/MPcg4pdmHbA.jpg,7,1,112.83754050925926,23.625453455850284
iUqPfGlg9GQ,"Bas Ek Dhadak | Dhadak 2 |Siddhant C,Triptii D|Shreya Ghoshal, Jubin Nautiyal Javed-Mohsin, Rashmi V",24,242.0,22,8434325,https://i.ytimg.com/vi/iUqPfGlg9GQ/hqdefault.jpg,2123,1,2025-07-15T07:30:01Z,119000000,music,thumbnails/iUqPfGlg9GQ.jpg,4,3,91.14075810185186,30.72366307641874
D9DiMnlpFK8,"Humsafar Song | Saiyaara | Ahaan Panday | Aneet Padda| Sachet Tandon, Parampara Tandon, Irshad Kamil",10,192.0,22,7896178,https://i.ytimg.com/vi/D9DiMnlpFK8/hqdefault.jpg,2292,22,2025-06-24T05:30:12Z,66500000,music,thumbnails/D9DiMnlpFK8.jpg,5,3,73.43769675925925,27.23299752650564
ErZSJc7YXO4,Man saves a bee's life #comedy #music #parody of Beautiful Things by Benson Boone,23,17.0,0,17794497,https://i.ytimg.com/vi/ErZSJc7YXO4/hqdefault.jpg,0,13,2025-07-03T09:45:02Z,1160000,music,thumbnails/ErZSJc7YXO4.jpg,2,2,94.96742476851853,62.06431114683022
Cf1hKtrA9lg,Ed Sheeran - Drive (From F1® The Movie) [Official Music Video],10,190.0,28,7801744,https://i.ytimg.com/vi/Cf1hKtrA9lg/hqdefault.jpg,1949,26,2025-06-20T13:01:13Z,57900000,music,thumbnails/Cf1hKtrA9lg.jpg,8,3,64.09398726851852,16.372992385736264
yb9ecZTHhrE,Party Tunes – Brainrot Rap Pt. 3 [Official Video],10,112.0,0,7575275,https://i.ytimg.com/vi/yb9ecZTHhrE/hqdefault.jpg,1228,25,2025-06-21T10:00:06Z,1270000,music,thumbnails/yb9ecZTHhrE.jpg,6,4,67.91266782407408,35.55667959490667
MsIvMhtPFwA,IShowSpeed - Higher (Official Music Video),20,167.0,1,7441688,https://i.ytimg.com/vi/MsIvMhtPFwA/hqdefault.jpg,841,30,2025-06-16T16:00:07Z,42300000,music,thumbnails/MsIvMhtPFwA.jpg,1,1,93.96271412037036,22.52052543149653
NtULhrXF-TU,Sevinch Ismoilova - Salom (Official Music Video 2025),10,276.0,9,7476611,https://i.ytimg.com/vi/NtULhrXF-TU/hqdefault.jpg,153,24,2025-06-22T14:00:07Z,707000,music,thumbnails/NtULhrXF-TU.jpg,7,1,105.39660300925928,45.118524164836536
DRBCwln8UE8,Ozoda & Tolib Musofir - Oshiqlar (Official Music Video),10,401.0,25,7328676,https://i.ytimg.com/vi/DRBCwln8UE8/hqdefault.jpg,607,20,2025-06-26T14:28:37Z,4070000,music,thumbnails/DRBCwln8UE8.jpg,8,2,114.45467592592593,102.34638233222589
